,name,description,services,website,employees,contact_person,address,telephone,revenue
0,Sansar,"Sansar is located in Brampton, ON, Canada and is part of the General Medical and Surgical Hospitals Industry. Sansar has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.sansar.org
                                            ",     150,None,"
                                            3 Conestoga Dr Suite 301 Brampton, ON, L6Z 4N5 Canada
                                            
                                            
                                            
                                        ",(905) 453-0766,$16.66 million
0,Avetrium Inc.,"Avetrium Inc. is located in Milton, ON, Canada and is part of the General Medical and Surgical Hospitals Industry. Avetrium Inc. has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,None,     150,"
                                        
                                        
                                            T. Smith
                                        
                                        ","
                                            627 Elliott Cres Milton, ON, L9T 3G5 Canada
                                            
                                            
                                            
                                        ",(289) 814-7343,$16.66 million
0,Fondation Alecxange,"Fondation Alecxange is located in Laval, QC, Canada and is part of the General Medical and Surgical Hospitals Industry. Fondation Alecxange has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.fondationalecxange.com
                                            ",     150,"
                                        
                                        
                                            David Levasseur
                                        
                                        ","
                                            2480 Rue Guindon Laval, QC, H7A 4B1 Canada
                                            
                                            
                                            
                                        ",None,$16.66 million
0,Healthy Lives International Society,"Healthy Lives International Society is located in Calgary, AB, Canada and is part of the General Medical and Surgical Hospitals Industry. Healthy Lives International Society has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,None,     150,None,"
                                            2239 Deer Side Dr Se Calgary, AB, T2J 5L7 Canada
                                            
                                            
                                            
                                        ",None,$16.66 million
0,Team Shan Breast Cancer Awareness For Young Women,"Team Shan Breast Cancer Awareness For Young Women is located in Huntsville, ON, Canada and is part of the General Medical and Surgical Hospitals Industry. Team Shan Breast Cancer Awareness For Young Women has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.teamshan.ca
                                            ",     150,None,"
                                            18 Beechwood Path Huntsville, ON, P1H 1S8 Canada
                                            
                                            
                                            
                                        ",(519) 535-1503,$16.66 million
0,St Josephs Health Care Society,"St Josephs Health Care Society is located in London, ON, Canada and is part of the General Medical and Surgical Hospitals Industry. St Josephs Health Care Society has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.stjosephssociety.com
                                            ",     150,None,"
                                            700 Richmond St Suite 402 London, ON, N6A 5C7 Canada
                                            
                                            
                                            
                                        ",(519) 433-5192,$16.66 million
0,Canadian Adult Congenital Heart Network,"Canadian Adult Congenital Heart Network is located in Ottawa, ON, Canada and is part of the General Medical and Surgical Hospitals Industry. Canadian Adult Congenital Heart Network has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.ccs.ca
                                            ",     150,"
                                        
                                        
                                            Ariane Marelli
                                        
                                        ","
                                            222 Queen St Suite 1100 Ottawa, ON, K1P 5V9 Canada
                                            
                                            
                                            
                                        ",None,$16.66 million
0,Starbright Childrens Development Centre Association,"Starbright Childrens Development Centre Association is located in Kelowna, BC, Canada and is part of the General Medical and Surgical Hospitals Industry. Starbright Childrens Development Centre Association has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.iwishimight.ca
                                            ",     150,None,"
                                            1546 Bernard Ave Kelowna, BC, V1Y 6R9 Canada
                                            
                                            
                                            
                                        ",(250) 763-5100,$16.66 million
0,Qeii H.S.C.,"Qeii H.S.C. is located in Halifax, NS, Canada and is part of the General Medical and Surgical Hospitals Industry. Qeii H.S.C. has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.nshealth.ca
                                            ",     150,"
                                        
                                            <span class=""company_profile_overview_underline_links"">
                                                <a href=""/contact-directory/contact-profile.geoff_graham.3bd485d03fb0ed3b7622d5ec033e10da.html"">Geoff Graham</a>
                                            </span>
                                        
                                        
                                        ","
                                            1276 South Park St Halifax, NS, B3H 2Y9 Canada
                                            
                                            
                                            
                                        ",(902) 473-7932,$16.66 million
0,Belarus' Children Of Chernobyl Inc.,"Belarus' Children Of Chernobyl Inc. is located in Vineland, ON, Canada and is part of the General Medical and Surgical Hospitals Industry. Belarus' Children Of Chernobyl Inc. has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,None,     150,None,"
                                            4095 John Charles Blvd Vineland, ON, L0R 2C0 Canada
                                            
                                            
                                            
                                        ",(289) 407-4744,$16.66 million
0,British Columbia Hands And Voices Association,"British Columbia Hands And Voices Association is located in Burnaby, BC, Canada and is part of the General Medical and Surgical Hospitals Industry. British Columbia Hands And Voices Association has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,None,     150,None,"
                                            7756 Lawrence Dr Burnaby, BC, V5A 3M9 Canada
                                            
                                            
                                            
                                        ",None,$16.66 million
0,The Scoliosis Association Of British Columbia Chapter 100,"The Scoliosis Association Of British Columbia Chapter 100 is located in Saanichton, BC, Canada and is part of the General Medical and Surgical Hospitals Industry. The Scoliosis Association Of British Columbia Chapter 100 has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,None,     150,None,"
                                            1934 Hovey Rd Saanichton, BC, V8M 1V8 Canada
                                            
                                            
                                            
                                        ",None,$16.66 million
0,Carbonear General Hospital Auxiliary,"Carbonear General Hospital Auxiliary is located in Victoria Cb, NL, Canada and is part of the General Medical and Surgical Hospitals Industry. Carbonear General Hospital Auxiliary has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,None,     150,None,"
                                            Po Box 102 Victoria Cb, NL, A0A 4G0 Canada
                                            
                                            
                                            
                                        ",None,$16.66 million
0,Supa Surf'S Up For Autism Society,"Supa Surf'S Up For Autism Society is located in Surrey, BC, Canada and is part of the General Medical and Surgical Hospitals Industry. Supa Surf'S Up For Autism Society has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,None,     150,None,"
                                            13092 64a Ave Surrey, BC, V3W 1Z3 Canada
                                            
                                            
                                            
                                        ",None,$16.66 million
0,The Shaun Anthony Lewis Cable Foundation,"The Shaun Anthony Lewis Cable Foundation is located in Edmonton, AB, Canada and is part of the General Medical and Surgical Hospitals Industry. The Shaun Anthony Lewis Cable Foundation has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,None,     150,None,"
                                            195 Quesnell Cres Nw Edmonton, AB, T5R 5P1 Canada
                                            
                                            
                                            
                                        ",None,$16.66 million
0,Toucher Du Coeur Masso-Cancer,"Toucher Du Coeur Masso-Cancer is located in Chicoutimi, QC, Canada and is part of the General Medical and Surgical Hospitals Industry. Toucher Du Coeur Masso-Cancer has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.toucherducoeur.com
                                            ",     150,None,"
                                            780 Boul Sainte-Geneviève Chicoutimi, QC, G7G 2E8 Canada
                                            
                                            
                                            
                                        ",(418) 673-3492,$16.66 million
0,Auxiliary To Clinton Public Hospital,"Auxiliary To Clinton Public Hospital is located in Bayfield, ON, Canada and is part of the General Medical and Surgical Hospitals Industry. Auxiliary To Clinton Public Hospital has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,None,     150,None,"
                                            34541 Mill Rd Rr 1 Bayfield, ON, N0M 1G0 Canada
                                            
                                            
                                            
                                        ",None,$16.66 million
0,The Nipissing Respiratory Organization,"The Nipissing Respiratory Organization is located in North Bay, ON, Canada and is part of the General Medical and Surgical Hospitals Industry. The Nipissing Respiratory Organization has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,None,     150,None,"
                                            163 Beverly Rd North Bay, ON, P1B 7P7 Canada
                                            
                                            
                                            
                                        ",None,$16.66 million
0,Institut De Recherche Fondamentale Et Clinique En Psycho-Orientation,"Institut De Recherche Fondamentale Et Clinique En Psycho-Orientation is located in Québec, QC, Canada and is part of the General Medical and Surgical Hospitals Industry. Institut De Recherche Fondamentale Et Clinique En Psycho-Orientation has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.irfcpo.org
                                            ",     150,None,"
                                            1405 Rue Félix-Antoine-Savard Québec, QC, G2G 1Z2 Canada
                                            
                                            
                                            
                                        ",(418) 914-8672,$16.66 million
0,Canadian Friends Of Aniquem Health Development Corporation,"Canadian Friends Of Aniquem Health Development Corporation is located in Brampton, ON, Canada and is part of the General Medical and Surgical Hospitals Industry. Canadian Friends Of Aniquem Health Development Corporation has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.friendsofaniquem.org
                                            ",     150,None,"
                                            12 Mount Mckinley Lane Brampton, ON, L6R 1W2 Canada
                                            
                                            
                                            
                                        ",None,$16.66 million
0,The Compassionate Friends - Vernon,"The Compassionate Friends - Vernon is located in Vernon, BC, Canada and is part of the General Medical and Surgical Hospitals Industry. The Compassionate Friends - Vernon has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,None,     150,None,"
                                            9720 Delcliffe Rd Vernon, BC, V1H 1K9 Canada
                                            
                                            
                                            
                                        ",None,$16.66 million
