,name,description,services,website,employees,contact_person,address,telephone,revenue
0,Centre Hospitalier de l'Université de Montréal,"Centre Hospitalier de l'Université de Montréal is located in Montréal, QC, Canada and is part of the General Medical and Surgical Hospitals Industry. Centre Hospitalier de l'Université de Montréal has   10,000 total employees across all of its locations and generates $1.11 billion in sales (USD). (Sales figure is modelled). There are        7 companies in the Centre Hospitalier de l'Université de Montréal corporate family.",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Medical and Diagnostic Laboratories                                                                                                                                                                                                                                                                                                                                                            Scientific Research and Development Services                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                                                                                                                                                              Medical laboratories                                                                                                                           ,"
                                                    www.chumontreal.qc.ca
                                            ","  10,000","
                                        
                                        
                                            Geneviève Fortier
                                        
                                        ","
                                            850 rue Saint-Denis Montréal, QC, H2X 0A9 Canada
                                            
                                            ",(514) 890-8000,$1.11 billion
0,Trillium Health Partners,"Trillium Health Partners is located in Mississauga, ON, Canada and is part of the General Medical and Surgical Hospitals Industry. Trillium Health Partners has    9,265 total employees across all of its locations and generates $1.03 billion in sales (USD). (Sales figure is modelled). There are        8 companies in the Trillium Health Partners corporate family.",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.trilliumhealthcentre.org
                                            ","   9,265","
                                        
                                        
                                            Michelle DiEmanuele
                                        
                                        ","
                                            100 Queensway W Mississauga, ON, L5B 1B8 Canada
                                            
                                            ",(905) 848-7580,$1.03 billion
0,Lifelabs LP,"Lifelabs LP is located in Toronto, ON, Canada and is part of the Medical and Diagnostic Laboratories Industry. Lifelabs LP has    3,000 total employees across all of its locations and generates $977.91 million in sales (USD). (Sales figure is modelled). There are      358 companies in the Lifelabs LP corporate family.",                                                                                                                                       Medical and Diagnostic Laboratories                                                                                                                                                                                                                                                                                                                                                            Ambulatory Health Care Services                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        Medical laboratories                                                                                                                           ,"
                                                    www.lifelabs.com
                                            ","   3,000","
                                        
                                        
                                            Jos Wintermans
                                        
                                        ","
                                            100 International Blvd Toronto, ON, M9W 6J6 Canada
                                            
                                            ",(416) 675-4530,$977.91 million
0,Dynacare-Gamma Laboratory Partnership,"Dynacare-Gamma Laboratory Partnership is located in Brampton, ON, Canada and is part of the Medical and Diagnostic Laboratories Industry. Dynacare-Gamma Laboratory Partnership has    3,000 total employees across all of its locations and generates $977.91 million in sales (USD). (Sales figure is modelled). There are    2,497 companies in the Dynacare-Gamma Laboratory Partnership corporate family.",                                                                                                                                       Medical and Diagnostic Laboratories                                                                                                                                                                                                                                                                                                                                                            Ambulatory Health Care Services                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        Medical laboratories                                                                                                                           ,"
                                                    www.dynacare.ca
                                            ","   3,000","
                                        
                                        
                                            Naseem Somani
                                        
                                        ","
                                            115 Midair Crt Brampton, ON, L6T 5M3 Canada
                                            
                                            ",(905) 790-3515,$977.91 million
0,Extendicare Inc,"Extendicare Inc is located in Markham, ON, Canada and is part of the Nursing Care Facilities (Skilled Nursing Facilities) Industry. Extendicare Inc has   23,700 total employees across all of its locations and generates $928.83 million in sales (USD).  There are      146 companies in the Extendicare Inc corporate family.",                                                                                                                                       Nursing Care Facilities (Skilled Nursing Facilities)                                                                                                                                                                                                                                                                                                                                                            Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly                                                                                                                                                                                                                                                                                                                                                            Nursing and Residential Care Facilities                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        Skilled nursing care facilities                                                                                                                           ,"
                                                    www.extendicare.com
                                            ","  23,700","
                                        
                                        
                                            Michael Guerriere
                                        
                                        ","
                                            3000 Steeles Ave E Suite 103 Markham, ON, L3R 4T9 Canada
                                            
                                            ",(905) 470-4000,$928.83 million
0,London Health Sciences Centre,"London Health Sciences Centre is located in London, ON, Canada and is part of the General Medical and Surgical Hospitals Industry. London Health Sciences Centre has    9,000 total employees across all of its locations and generates $857.95 million in sales (USD).  There are       12 companies in the London Health Sciences Centre corporate family.",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.lhsc.on.ca
                                            ","   9,000","
                                        
                                        
                                            Murray Glendining
                                        
                                        ","
                                            800 Commissioners Rd E London, ON, N6A 5W9 Canada
                                            
                                            ",(519) 685-8500,$857.95 million
0,The Hospital For Sick Children,"
   If you've got a sick kid in Toronto, you might want to take the tyke to Sick Kids. The Hospital for Sick Children, also called Sick Kids for short, is a full-service pediatric hospital&nbsp;affiliated with the University of Toronto.&nbsp;Along with providing general surgical and medical care, Sick Kids is&nbsp;also a&nbsp;teaching hospital and a research facility. The Hospital for Sick Children is funded primarily by the Canadian government, and it&nbsp;receives support",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        Childrens' hospital                                                                                                                           ,"
                                                    www.sickkids.ca
                                            ","   6,710","
                                        
                                        
                                            Ronald Cohn
                                        
                                        ","
                                            555 University Ave Toronto, ON, M5G 1X8 Canada
                                            
                                            ",(416) 813-1500,$790.84 million
0,Northern Health Authority,"Northern Health Authority is located in Prince George, BC, Canada and is part of the General Medical and Surgical Hospitals Industry. Northern Health Authority has    7,000 total employees across all of its locations and generates $777.56 million in sales (USD). (Sales figure is modelled). There are       30 companies in the Northern Health Authority corporate family.",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Nursing Care Facilities (Skilled Nursing Facilities)                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.northernhealth.ca
                                            ","   7,000","
                                        
                                        
                                            Cathy Ulrich
                                        
                                        ","
                                            299 Victoria St Suite 600 Prince George, BC, V2L 5B8 Canada
                                            
                                            ",(250) 565-2649,$777.56 million
0,Linde Canada Inc,"Linde Canada Inc is located in Mississauga, ON, Canada and is part of the Basic Chemical Manufacturing Industry. Linde Canada Inc has    1,700 total employees across all of its locations and generates $755.90 million in sales (USD). (Sales figure is modelled). There are    3,661 companies in the Linde Canada Inc corporate family.",                                                                                                                                       Basic Chemical Manufacturing                                                                                                                                                                                                                                                                                                                                                            Home Health Care Services                                                                                                                                                                                                                                                                                                                                                            Other General Purpose Machinery Manufacturing                                                                                                                                                                                                                                                                                                                                                        Industrial gases                                                                                                                                                                                                                                                              Oxygen tent service                                                                                                                           ,"
                                                    www.lindecanada.ca
                                            ","   1,700","
                                        
                                        
                                            Joe Abdoo
                                        
                                        ","
                                            1 City Centre Dr Suite 1200 Mississauga, ON, L5B 1M2 Canada
                                            
                                            ",(905) 803-1600,$755.90 million
0,Providence Health Care Society,"Providence Health Care Society is located in Vancouver, BC, Canada and is part of the General Medical and Surgical Hospitals Industry. Providence Health Care Society has    5,300 total employees across all of its locations and generates $703.67 million in sales (USD).  There are       12 companies in the Providence Health Care Society corporate family.",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.providencehealthcare.org
                                            ","   5,300","
                                        
                                        
                                            Fiona Dalton
                                        
                                        ","
                                            1081 Burrard St Vancouver, BC, V6Z 1Y6 Canada
                                            
                                            ",(604) 682-2344,$703.67 million
0,Revera Inc,"
        
   If the name Revera conjures up a welcoming home in the country, this company is probably fine with that. Revera is one of the largest senior services firms in North America with more than 500 locations in the US, the UK, and Canada. The company owns a majority stake in Sunrise Senior Living, which manages some 300 communities in the aforementioned markets. Additionally, Revera owns a stake in Welltower (the other primary owner of Sunrise",                                                                                                                                       Nursing Care Facilities (Skilled Nursing Facilities)                                                                                                                                                                                                                                                                                                                                                            Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly                                                                                                                                                                                                                                                                                                                                                            Lessors of Real Estate                                                                                                                                                                                                                                                                                                                                                        Extended care facility                                                                                                                                                                                                                                                              Rest home with health care incidental                                                                                                                           ,"
                                                    www.reveraliving.com
                                            ","  10,158","
                                        
                                        
                                            Thomas G Wellner
                                        
                                        ","
                                            5015 Spectrum Way Suite 600 Mississauga, ON, L4W 0E4 Canada
                                            
                                            ",(289) 360-1252,$694.06 million
0,Centre Intégré de Santé et de Services Sociaux des Laurentides,"Centre Intégré de Santé et de Services Sociaux des Laurentides is located in Saint-Jérôme, QC, Canada and is part of the Offices of Physicians Industry. Centre Intégré de Santé et de Services Sociaux des Laurentides has    3,600 total employees across all of its locations and generates $684.75 million in sales (USD). (Sales figure is modelled). There are       10 companies in the Centre Intégré de Santé et de Services Sociaux des Laurentides corporate",                                                                                                                                       Offices of Physicians                                                                                                                                                                                                                                                                                                                                                            Outpatient Care Centers                                                                                                                                                                                                                                                                                                                                                            Administration of Human Resource Programs                                                                                                                                                                                                                                                                                                                                                        Radiologist                                                                                                                                                                                                                                                              Health maintenance organization                                                                                                                           ,"
                                                    santelaurentides.gouv.qc.ca
                                            ","   3,600","
                                        
                                        
                                            Rosemonde Landry
                                        
                                        ","
                                            290 rue de Montigny Saint-Jérôme, QC, J7Z 5T3 Canada
                                            
                                            ",(450) 432-2777,$684.75 million
0,Providence Healthcare,"Providence Healthcare is located in Scarborough, ON, Canada and is part of the Specialty (except Psychiatric and Substance Abuse) Hospitals Industry. Providence Healthcare has    1,150 total employees across all of its locations and generates $683.10 million in sales (USD).  ",                                                                                                                                       Specialty (except Psychiatric and Substance Abuse) Hospitals                                                                                                                                                                                                                                                                                                                                                            Nursing Care Facilities (Skilled Nursing Facilities)                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        Chronic disease hospital                                                                                                                           ,"
                                                    www.unityhealth.to
                                            ","   1,150","
                                        
                                        
                                            Josie Walsh
                                        
                                        ","
                                            3276 St Clair Ave E Scarborough, ON, M1L 1W1 Canada
                                            
                                            
                                            
                                        ",(416) 285-3666,$683.10 million
0,Leisureworld Senior Care LP,"Leisureworld Senior Care LP is located in Markham, ON, Canada and is part of the Office Administrative Services Industry. Leisureworld Senior Care LP has    5,300 total employees across all of its locations and generates $661.31 million in sales (USD). (Sales figure is modelled). There are        2 companies in the Leisureworld Senior Care LP corporate family.",                                                                                                                                       Office Administrative Services                                                                                                                                                                                                                                                                                                                                                            Nursing Care Facilities (Skilled Nursing Facilities)                                                                                                                                                                                                                                                                                                                                                            Administrative and Support Services                                                                                                                                                                                                                                                                                                                                                            Administrative and Support and Waste Management and Remediation Services                                                                                                                                                                                                                                                                                                                                                        Nursing and personal care facility management                                                                                                                           ,"
                                                    www.siennaliving.ca
                                            ","   5,300","
                                        
                                        
                                            David Cutler
                                        
                                        ","
                                            302 Town Centre Blvd Suite 200 Markham, ON, L3R 0E8 Canada
                                            
                                            ",(905) 477-4006,$661.31 million
0,CML HealthCare Inc,"CML HealthCare Inc is located in Mississauga, ON, Canada and is part of the Medical and Diagnostic Laboratories Industry. CML HealthCare Inc has    2,000 total employees across all of its locations and generates $651.94 million in sales (USD). (Sales figure is modelled). There are      358 companies in the CML HealthCare Inc corporate family.",                                                                                                                                       Medical and Diagnostic Laboratories                                                                                                                                                                                                                                                                                                                                                            Architectural Engineering and Related Services                                                                                                                                                                                                                                                                                                                                                            Ambulatory Health Care Services                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        Medical laboratories                                                                                                                           ,"
                                                    www.cmlhealthcare.com
                                            ","   2,000","
                                        
                                        
                                            Patrice Merrin
                                        
                                        ","
                                            6560 Kennedy Rd Mississauga, ON, L5T 2X4 Canada
                                            
                                            ",(905) 565-0043,$651.94 million
0,The Governing Council of the Salvation Army in Canada,"The Governing Council of the Salvation Army in Canada is located in Toronto, ON, Canada and is part of the Social Advocacy Organizations Industry. The Governing Council of the Salvation Army in Canada has    9,270 total employees across all of its locations and generates $642.94 million in sales (USD).  There are      811 companies in the The Governing Council of the Salvation Army in Canada corporate family.",                                                                                                                                       Social Advocacy Organizations                                                                                                                                                                                                                                                                                                                                                            Individual and Family Services                                                                                                                                                                                                                                                                                                                                                            Used Merchandise Stores                                                                                                                                                                                                                                                                                                                                                            Management Scientific and Technical Consulting Services                                                                                                                                                                                                                                                                                                                                                            Religious Organizations                                                                                                                                                                                                                     ,"
                                                    www.salvationarmy.ca
                                            ","   9,270","
                                        
                                        
                                            Susan McMillan
                                        
                                        ","
                                            2 Overlea Blvd Toronto, ON, M4H 1P4 Canada
                                            
                                            ",(416) 425-2111,$642.94 million
0,Centre De Santé Et De Services Sociaux De Chicoutimi,"Centre De Santé Et De Services Sociaux De Chicoutimi is located in Chicoutimi, QC, Canada and is part of the Offices of Physicians Industry. Centre De Santé Et De Services Sociaux De Chicoutimi has    3,200 total employees across all of its locations and generates $608.66 million in sales (USD). (Sales figure is modelled). There are    2,909 companies in the Centre De Santé Et De Services Sociaux De Chicoutimi corporate family.",                                                                                                                                       Offices of Physicians                                                                                                                                                                                                                                                                                                                                                            Ambulatory Health Care Services                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        Physicians' office including specialists                                                                                                                           ,"
                                                    www.quebec.ca
                                            ","   3,200","
                                        
                                        
                                            Richard Lemieux
                                        
                                        ","
                                            305 rue Saint-Vallier Chicoutimi, QC, G7H 5H6 Canada
                                            
                                            ",(418) 541-1046,$608.66 million
0,St. Michael's Hospital,"St. Michael's Hospital is located in Toronto, ON, Canada and is part of the General Medical and Surgical Hospitals Industry. St. Michael's Hospital has    5,300 total employees across all of its locations and generates $588.72 million in sales (USD). (Sales figure is modelled). There are       10 companies in the St. Michael's Hospital corporate family.",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.unityhealth.to
                                            ","   5,300","
                                        
                                        
                                            Tom Woods
                                        
                                        ","
                                            30 Bond St Toronto, ON, M5B 1W8 Canada
                                            
                                            ",(416) 360-4000,$588.72 million
